basin_name,location,SUB_REGIME_GROUP,SUB_REGIME,PET_SYS_STATUS
Faroe - Shetland Escarpment,Offshore,Divergent Basin,Passive Margin,Discoveries
Porcupine,Offshore,Divergent Basin,Passive Margin,Discoveries
North Lewis,Offshore,Divergent Basin,Post-rift Sag,
South Celtic Sea,Offshore,Divergent Basin,Post-rift Sag,
Blake Plateau Ultradeep,Offshore,Divergent Basin,Passive Margin,
Doukkala Ultradeep,Offshore,Divergent Basin,Passive Margin,
Central Trough,Offshore,Divergent Basin,Post-rift Sag,
Andaman Sea,Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Extensional (Ocean - Continent),
Great South,Offshore,Divergent Basin,Intracratonic Sag,Discoveries
South Falkland,Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Discoveries
Raukumara Offshore,Offshore,Convergent (Ocean-Ocean) Basin,Retro-arc Extensional (Ocean - Ocean),Unproven
Canaries,Offshore,Divergent Basin,Passive Margin,
Ogasawa,Offshore,Convergent (Ocean-Ocean) Basin,Fore-arc (Ocean - Ocean),
Mozambique Channel Ultradeep,Offshore,Divergent Basin,Passive Margin,
Rio Muni Ultradeep,Offshore,Divergent Basin,Passive Margin,
Sergipe - Alagoas Ultradeep,Offshore,Divergent Basin,Passive Margin,
Tukang Besi,Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Extensional (Ocean - Continent),
Northern North Sea,Offshore,Divergent Basin,Intracratonic Sag,Producing fields
Aaiun - Tarfaya Ultradeep,Offshore,Divergent Basin,Passive Margin,
Douala Ultradeep,Offshore,Divergent Basin,Passive Margin,
Armorican,Offshore,Divergent Basin,Passive Margin,
Voring,Offshore,Divergent Basin,Passive Margin,Producing fields
Jeanne d' Arc,Offshore,Divergent Basin,Passive Margin,Producing fields
Flannan - Lewis,Offshore,Divergent Basin,Passive Margin,Discoveries
Tomori,Offshore,Divergent Basin,Rift,Producing fields
Whale,Offshore,Divergent Basin,Passive Margin,Unproven
Orphan,Offshore,Divergent Basin,Passive Margin,Unproven
Salar Ultradeep,Offshore,Divergent Basin,Passive Margin,
Dangerous Grounds,Offshore,Divergent Basin,Passive Margin,Unknown
Sulu Sea,Offshore,Convergent (Continent-Continent) Basin,Trapped Oceanic Crustal Sag (Continent - Continent),Absent
Cyprus,Offshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Unproven
Eratosthenes Platform,Offshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Discoveries
Scotian Shelf,Offshore,Divergent Basin,Passive Margin,Producing fields
East China Sea,Offshore,Divergent Basin,Post-rift Sag,Producing fields
Qiongdongnan,Offshore,Divergent Basin,Passive Margin,Producing fields
Xisha,Offshore,Divergent Basin,Passive Margin,Unknown
Zhongsha Plateau,Offshore,Divergent Basin,Passive Margin,Unknown
Navarin,Offshore,Wrench Basin,Wrench (Ocean - Continent),Unproven
South Sea of Okhotsk,Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Post-extensional Sag (Ocean - Continent) with Inversion,Unknown
Browse,Offshore,Divergent Basin,Passive Margin,Producing fields
North Kara Sea,Offshore,Divergent Basin,Passive Margin,Unknown
Bonaire,Offshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),Unproven
Cariaco,Offshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),Discoveries
Los Roques,Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),Unproven
West Florida,Offshore,Divergent Basin,Passive Margin,Unknown
Peel,Offshore,Divergent Basin,Post-rift Sag,
Ringkobing-Fyn High,Offshore,Divergent Basin,Post-rift Sag,Minor shows in wells
Flannan Trough,Offshore,Divergent Basin,Passive Margin,
Algerian Sea,Offshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),
Alboran Sea,Offshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),
Komandorsky,Offshore,Convergent (Ocean-Ocean) Basin,Retro-arc Extensional (Ocean - Ocean),
Deepwater Taranaki,Offshore,Divergent Basin,Passive Margin,Unproven
Townsville,Offshore,Divergent Basin,Post-rift Sag,Unknown
Lord Howe Rise,Offshore,Divergent Basin,Passive Margin,Unknown
Para - Maranhao,Offshore,Divergent Basin,Passive Margin,Discoveries
Malay,Offshore,Divergent Basin,Post-rift Sag,Producing fields
Phu Khanh,Offshore,Divergent Basin,Passive Margin,Discoveries
Saya De Malha Bank,Offshore,Divergent Basin,Passive Margin,Unproven
Great Australian Bight,Offshore,Divergent Basin,Passive Margin,Minor shows in wells
New Caledonia,Offshore,Divergent Basin,Passive Margin,Significant shows
Mollendo,Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),Unproven
Pukaki,Offshore,Divergent Basin,Passive Margin,Unproven
Brisbane,Offshore,Divergent Basin,Passive Margin,Unknown
Cupica,Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),Unknown
Panama - Costa Rica,Offshore,Convergent (Ocean-Ocean) Basin,Retro-arc Foreland (Ocean - Ocean),Unproven
Sorell,Offshore,Divergent Basin,Passive Margin with Inversion,Minor shows in wells
Bremer,Offshore,Divergent Basin,Passive Margin,Unknown
Queensland,Offshore,Divergent Basin,Post-rift Sag,Unknown
East Tasman Plateau,Offshore,Divergent Basin,Passive Margin,Unproven
Kenn Plateau,Offshore,Divergent Basin,Passive Margin,Unproven
Rockall Trough,Offshore,Divergent Basin,Passive Margin,Discoveries
Slyne - Erris,Offshore,Divergent Basin,Passive Margin,Discoveries
Columbus,Offshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),Producing fields
Grenada,Offshore,Convergent (Ocean-Ocean) Basin,Retro-arc Extensional (Ocean - Ocean),Unproven
Salabanga Manui,Offshore,Divergent Basin,Rift,Unknown
Falkland Plateau,Offshore,Divergent Basin,Passive Margin,Discoveries
Punta Del Este,Offshore,Divergent Basin,Passive Margin,Unknown
Malvinas,Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Discoveries
Labrador Shelf,Offshore,Divergent Basin,Passive Margin,Discoveries
South Caribbean Deformation Belt Ultradeep,Offshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Nam Con Son,Offshore,Divergent Basin,Post-rift Sag,Producing fields
West Natuna - Penyu,Offshore,Divergent Basin,Post-rift Sag,Producing fields
Biliton,Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Post-extensional Sag (Ocean - Continent),Unproven
Lamu Embayment Ultradeep,Offshore,Divergent Basin,Passive Margin,
Offshore Indus Ultradeep,Offshore,Divergent Basin,Passive Margin,
Indian Ocean Abyssal,Offshore,Divergent Basin,Passive Margin,
Kachchh - Mumbai Ultradeep,Offshore,Divergent Basin,Passive Margin,
Mumbai - Konkan Ultradeep,Offshore,Divergent Basin,Passive Margin,
Mannar Ultradeep,Offshore,Divergent Basin,Passive Margin,
Outer Bengal Fan,Offshore,Divergent Basin,Passive Margin,
Northeast Sea of Okhotsk,Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Post-extensional Sag (Ocean - Continent) with Inversion,Unproven
Northwest Sea of Okhotsk,Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Post-extensional Sag (Ocean - Continent) with Inversion,Unknown
North Chukchi,Offshore,Divergent Basin,Post-rift Sag,Unknown
Nazareth Bank,Offshore,Divergent Basin,Passive Margin,Unproven
Fiordland,Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Unknown
Bellona,Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Unknown
Kwanza Ultradeep,Offshore,Divergent Basin,Passive Margin,
Leeward Ultradeep,Offshore,Convergent (Ocean-Ocean) Basin,Retro-arc Foreland (Ocean - Ocean),
Liberia Ultradeep,Offshore,Divergent Basin,Passive Margin,
Majunga Ultradeep,Offshore,Divergent Basin,Passive Margin,
Niger Fan Ultradeep,Offshore,Divergent Basin,Passive Margin,
Orange Fan Ultradeep,Offshore,Divergent Basin,Passive Margin,
Pelotas Ultradeep,Offshore,Divergent Basin,Passive Margin,
Punta del Este Ultradeep,Offshore,Divergent Basin,Passive Margin,
Rawson Ultradeep,Offshore,Divergent Basin,Passive Margin,
Rovuma Ultradeep,Offshore,Divergent Basin,Passive Margin,
Salado Ultradeep,Offshore,Divergent Basin,Passive Margin,
