basin_name,location
volga-ural,onshore
espirito santo,onshore-offshore
amu darya,onshore
williston,onshore
anadarko,onshore
maracaibo,onshore
llanos,onshore
malay,offshore
caspian north,onshore-offshore
paris,onshore
reconcavo,onshore-offshore
beaufort-mackenzie,onshore-offshore
big horn,onshore
sirt,onshore-offshore
paradox,onshore
phitsanulok,onshore
campos,onshore-offshore
ordos,onshore
wessex,onshore-offshore
appalachian,onshore
cambay,onshore-offshore
cook inlet,onshore-offshore
jeanne d arc,offshore
bonaparte,onshore-offshore
kutai,onshore-offshore
caspian south,onshore-offshore
gippsland,onshore-offshore
jianghan,onshore
papuan ftb,onshore-offshore
western overthrust,onshore
fort worth,onshore
otway,onshore-offshore
pelagian,onshore-offshore
qiongdongnan,offshore
timan-pechora,onshore-offshore
sunda,onshore-offshore
niger delta,onshore-offshore
aquitaine,onshore-offshore
nile delta,onshore-offshore
rub al khali,onshore-offshore
michigan,onshore
sergipe-alagoas,onshore-offshore
powder river,onshore
los angeles,onshore-offshore
north slope,onshore-offshore
arkoma,onshore
carnarvon,onshore-offshore
san joaquin,onshore
gulf of suez,onshore-offshore
tarakan,onshore-offshore
uinta,onshore
wind river,onshore
songliao,onshore
salawati,onshore-offshore
pearl river mouth,onshore-offshore
vienna,onshore
oriente,onshore
kaiparowits,onshore
sichuan,onshore
