country,region,basin_name,operator_company,hydrocarbon_type,reservoir_status,reservoir_period,lithology,basin_location_inferred,basin_location_external,tectonic_regime_basement-i,tectonic_regime_compression,tectonic_regime_diapir,tectonic_regime_erosion,tectonic_regime_evaporite,tectonic_regime_extension,tectonic_regime_gravity,tectonic_regime_inversion,tectonic_regime_linked,tectonic_regime_reactivation,tectonic_regime_shale,tectonic_regime_strike-slip,tectonic_regime_synsedimentation,tectonic_regime_transpression,tectonic_regime_transtension,tectonic_regime_uplift,structural_setting_backarc,structural_setting_delta,structural_setting_forearc,structural_setting_foreland,structural_setting_intracratonic,structural_setting_inversion,structural_setting_passive-margin,structural_setting_rift,structural_setting_salt,structural_setting_sub-salt,structural_setting_sub-thrust,structural_setting_thrust,structural_setting_wrench,depth,thickness_gross_average_ft,thickness_net_pay_average_ft,porosity,permeability,is_in_water,is_on_island,is_in_gulf,is_in_strait,is_in_delta,is_in_bay,ref_onshore,ref_offshore,ref_lake,onshore_offshore
russia,former soviet union,volga-ural,nizhnevolzhsknet,oil,declining production,carboniferous,sandstone,onshore,onshore,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1870,262.0,33.0,24.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
brazil,latin america,espirito santo,petrobras,oil,nearly depleted,paleogene,sandstone,onshore,onshore-offshore,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4843,2133.0,72.0,23.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
saudi arabia,middle east,the gulf,saudi aramco,oil,rejuvenating,jurassic,limestone,onshore-offshore,onshore-offshore,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6050,250.0,184.0,21.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
uk /norway,europe,north sea northern,cnr,oil,nearly depleted,jurassic,sandstone,offshore,offshore,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8988,425.0,300.0,22.0,750.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
canada,north america,western canada,numerous,oil,unknown,devonian,dolomite,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9306,233.0,167.0,11.8,1407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
uzbekistan,former soviet union,amu darya,sredazgazprom,gas,declining production,jurassic,dolomite,onshore,onshore,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5443,82.0,59.0,16.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
usa,north america,williston,amerada hess,oil,mature production,carboniferous,dolomitic limestone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3275,43.0,15.5,10.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
usa,north america,gulf of mexico northern onshore,shell,gas,mature production,paleogene,sandstone,onshore,onshore,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9400,300.0,140.0,16.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,onshore
usa,north america,anadarko,numerous,gas,declining production,carboniferous,shaly sandstone,onshore,onshore,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6500,150.0,26.0,14.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
canada,north america,western canada,banf and aquitaine,gas,nearly depleted,devonian,dolomite,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12068,900.0,535.0,7.8,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
venezuela,latin america,maracaibo,repsol ypf,oil,rejuvenating,neogene,thinly-bedded sandstone,onshore,onshore,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1104,1400.0,100.0,30.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
