basin_name,field_name,reservoir_unit
colville,alpine,alpine
north sea southern,andrew,lista (andrew sandstone)
abu gharadig,badr el din-2,bahariya
williston,beaver lodge,mission canyon (madison)
greater green river,bridger lake,dakota sandstone (lower member)
western canada,caroline,swan hills (beaverhill lake a)
ucayali,cashiriari,viivian
delaware,empire abo,abo
qaidam,gasikule,upper ganchaigou-lower youshas
williston,glenburn,mission canyon (frobisher-alida)
western canada,harmattan-elkton,turner valley (rundle c pool)
permian,north robertson,clearfork-glorieta
precaspian,orenburg,unnamed
maturin,orocual,san juan
amadeus,palm valley,pacoota and stairway
powder river,rourke gap,upper minnelusa (c sand)
moray firth,scott,sgiath-piper
western canada,taber north,upper mannvile (a pool)
east texas salt,talco,paluxy
maracaibo,tia juana,la rosa-lagunillas (tia juana onshore area)
central graben,ula,ula
mangyshlak - ustyurt,uzen,units xiii-xviii
permian,west seminole,san andres
sichuan,wubaiti,huanglong
kutai,yakin,balikpapan (yakin)
fahud salt,yibal,khuff
rub al khali,zakum,thamama zone ii
north sea northern,beryl,linnhe
san joaquin,coalinga,temblor
sumatra central,duri,duri (rindu sand)
qaidam,gasikule,lower ganchaigou
eromanga,gidgealpa,hutton
mumbai offshore,heera,bassein (zone b)
north sea southern,indefatigable,leman sandstone
permian,north ward-estes,yates
permian,south cowden,grayburg
siberian western,urengoy,pokur (pk1-6)
timan-pechora,west tebuk,f2-f0
